所在行业中文,富豪数量,总财富值,平均财富值,富豪数量占比,财富值占比,平均财富值排名
房地产,51,167000.0,3274.5098039215686,4.66%,5.64%,87.0
投资,36,129370.0,3593.6111111111113,3.29%,4.37%,71.0
医药,40,122580.0,3064.5,3.66%,4.14%,101.0
互联网服务,6,69400.0,11566.666666666666,0.55%,2.34%,15.0
半导体,23,63680.0,2768.695652173913,2.10%,2.15%,117.0
锂电池,9,59010.0,6556.666666666667,0.82%,1.99%,32.0
社交媒体,1,49300.0,49300.0,0.09%,1.66%,1.0
饮料、医疗保健,1,47900.0,47900.0,0.09%,1.62%,2.0
金融服务,11,45770.0,4160.909090909091,1.01%,1.55%,54.0
电子商务、金融科技,12,43370.0,3614.1666666666665,1.10%,1.46%,70.0
钢铁,13,41380.0,3183.076923076923,1.19%,1.40%,92.0
调味品,7,41220.0,5888.571428571428,0.64%,1.39%,36.0
汽车制造,2,35900.0,17950.0,0.18%,1.21%,8.0
家电制造,3,35710.0,11903.333333333334,0.27%,1.21%,14.0
购物网站,1,34500.0,34500.0,0.09%,1.17%,3.0
